رقم	اسم البلدية	Commune - Fr
4838	أولاد سيدي ميھوب	OULED SIDI MIHOUB
4805	أولاد يعيش	OULED AICH
4833	الحاسى	EL HASSI
4807	الحمدانة	EL HMADNA
4816	الحمري	EL HAMRI
4836	العلجة	EL OULDJA
4815	القطارة	EL GUETTAR
4817	المطمار	EL MATMAR
4803	بلعسل بوزقزة	BELAASEL BOUZEGZA
4835	بن داود	BEN DAOUD
4813	بني درقون	BENI DERGOUN
4830	بني زنتيس	BENI ZENTIS
4814	جيديوة	DJIDIOUIA
4834	حد الشقالة	HAD ECHEKALLA
4832	دراع بن عبد الله	DAR BEN ABDELAH
4827	رمقة	RAMKA
4812	زمورة	ZEMMOURA
4831	سوق الحد	SOUK EL HAAD
4808	سيدي امحمد بن علي	SIDI MHAMED BEN ALI
4818	سيدي بن عودة	SIDI MHAMED BEN AOUDA
4810	سيدي خطاب	SIDI KHETAB
4804	سيدي سعادة	SIDI SAADA
4806	سيدي لزرق	SIDI LAZREG
4811	عمي موسى	AMMI MOUSSA
4824	عين الرحمة	AIN RAHMA
4819	عين طارق	AIN TARIK
4801	غليزان	RELIZANE
4823	قلعة	KALAA
4829	لحلف	LAHLEF
4822	مازونة	MAZOUNA
4809	مديونة	MEDIOUNA
4837	مرجة سيدي عابد	MERDJA SIDI ABED
4828	مندس	MENDES
4826	وادى الجمعة	OUED EL DJEMAA
4820	وادى السالم	OUED ESSALEM
4802	وادى رھيو	OUED RHIOU
4821	وزيزان	OUARIZANE
4825	يلل	YELLEL
